index,kabc_absTEC,kabc_absCB,usln_absTEC,usln_absCB,kazn_absTEC,kazn_absCB,kula_absTEC,kula_absCB,tyla_absTEC,tyla_absCB,rybn_absTEC,rybn_absCB,kamu_absTEC,kamu_absCB,tetu_absTEC,tetu_absCB,time,date
0,2.21,363480772.30067104,2.412,443648693.6687325,,,2.969,399873625.24823886,1.49,564462018.6878085,3.332,377463847.5594246,3.156,387846039.9833353,3.171,386927625.14950466,00:00:00,01-01-2022
1,2.336,350807818.5411361,2.52,434037834.8780896,,,2.99,398466912.4320084,1.78,516437604.10731375,3.201,385110200.2349204,3.18,386379698.09838384,3.128,389578056.43340814,00:30:00,01-01-2022
2,2.408,344017019.75431573,2.553,431223531.0002375,,,3.083,392410930.86924917,1.91,498552817.76108706,3.245,382490372.5411604,3.248,382313689.01219755,3.122,389952231.0576138,01:00:00,01-01-2022
3,2.298,354519841.5715046,2.37,447562494.5666546,,,3.113,390515520.0246254,1.896,500390081.0152101,3.15,388215241.43769497,3.143,388647311.9569947,2.974,399537342.60087603,01:30:00,01-01-2022
4,2.359,348604771.29098517,2.473,438142922.3701716,,,3.036,395436701.82089865,2.09,476600743.7576707,3.174,386744723.87473786,3.099,391396619.82002145,3.008,397272902.01943505,02:00:00,01-01-2022
5,2.507,365161727.1795163,2.585,428546137.4430019,,,3.241,382726332.07781744,2.296,454717760.0836372,3.299,379347041.1928835,3.141,388771025.89040244,3.092,391839412.0971744,02:30:00,01-01-2022
6,2.258,378528030.6309977,2.59,428132283.0370068,,,3.061,393818572.8391379,2.226,461812069.23317426,3.27,381025448.07588094,2.941,401772628.72281474,2.941,401772628.72281474,03:00:00,01-01-2022
7,2.468,378586521.67623043,2.879,406075723.1310209,,,3.796,353642748.24945354,2.504,435422329.0955862,3.561,365125253.887966,3.129,389515798.6533169,3.242,382667301.25583017,03:30:00,01-01-2022
8,2.876,366287459.85687035,3.437,371653385.0391711,,,4.451,326587126.5464255,3.024,396220521.62238705,4.11,339865395.6060804,3.631,361588603.80114377,3.856,350880591.28841877,04:00:00,01-01-2022
9,3.583,364002573.9996731,4.306,332040337.0682195,,,5.363,297525340.11051965,3.869,350290608.6312995,4.968,309127089.70555687,4.458,326330620.488807,4.715,317312375.43916017,04:30:00,01-01-2022
10,4.824,313706999.7577141,5.528,293051427.7564697,,,6.814,263953116.55835065,5.132,304147698.8272668,6.273,275099762.2347458,5.726,287940123.7464597,5.984,281664469.44304985,05:00:00,01-01-2022
11,6.214,276402670.2640654,7.031,259847958.92208838,,,8.483,236566435.0503167,6.604,268116984.65420645,7.711,248126133.0241991,7.356,254042863.02026093,7.445,252519841.32491833,05:30:00,01-01-2022
12,7.893,245248752.75786218,8.729,233209163.97177663,,,10.157,216194744.56985793,8.237,240073003.47191384,9.302,225912203.295327,9.1,228405818.2574932,9.109,228292954.03645754,06:00:00,01-01-2022
13,9.226,226840780.89513564,10.058,217256132.00698698,,,11.314,204842360.41482398,9.513,223392768.5369691,10.426,213387511.37803343,10.362,214045481.75476104,10.347,214200575.95796323,06:30:00,01-01-2022
14,9.538,223099809.6565863,10.334,214335263.99214116,,,11.463,203506700.2972801,9.837,219683036.63914123,10.615,211479297.73021665,10.57,211928988.41628686,10.535,212280738.0167011,07:00:00,01-01-2022
15,9.793,220176002.04952273,10.653,211101780.0094629,,,11.76,200920475.79594755,10.274,214960210.2032629,10.915,208552782.6088076,10.929,208419162.21357358,10.74,210245020.24723,07:30:00,01-01-2022
16,10.41,213551434.9753811,11.303,204942011.74701536,,,12.397,195690416.78036022,10.807,209592280.4889378,11.488,203285145.69907984,11.466,203480075.4917371,11.244,205478998.50927892,08:00:00,01-01-2022
17,10.697,210667169.85725686,11.529,202923357.4156599,,,12.754,192932171.5241439,11.13,206528635.92704338,11.561,202642324.3267163,11.741,201082980.94309375,11.502,203161390.76132473,08:30:00,01-01-2022
18,10.895,208744115.4771309,11.934,199450368.04531676,,,12.702,193326685.2243336,11.486,203302843.44391802,11.651,201858135.5834655,12.101,198069328.09297088,11.741,201082980.94309375,09:00:00,01-01-2022
19,11.331,204688639.32900915,12.371,195895949.0865086,,,12.9,191837278.0471707,11.675,201650551.53446826,11.892,199802265.62864998,12.409,195595773.65853545,11.978,199083700.3919501,09:30:00,01-01-2022
20,11.288,205078134.60286772,12.119,197922180.11336845,,,12.735,193076040.58626688,11.371,204328303.44651034,11.635,201996881.63341263,12.175,197466475.12230766,11.785,200707252.26586586,10:00:00,01-01-2022
21,10.583,211798783.20777643,11.444,203675567.1155335,,,11.853,200130701.00910783,10.551,212119721.0309713,10.918,208524128.03229886,11.447,203648875.98507723,11.128,206547194.4602099,10:30:00,01-01-2022
22,9.52,223310623.73973075,10.286,214834783.6379581,,,10.743,210215662.56779522,9.295,225997253.74193954,9.83,219761241.5012047,10.245,215264233.6718236,10.019,217678567.36279055,11:00:00,01-01-2022
23,8.761,232782870.15898463,9.462,223994000.85438734,,,10.071,217115865.80994672,8.545,235706644.47075078,9.198,227185786.08445308,9.448,224159896.0266792,9.233,226754774.90876642,11:30:00,01-01-2022
24,8.127,241692252.33541155,8.794,232345693.96485454,,,9.441,224242981.95641735,7.871,245591257.37219873,8.718,233356244.272135,8.832,231845317.27916762,8.606,234869805.38789868,12:00:00,01-01-2022
25,7.529,251107225.9090537,8.095,242169492.83930463,,,8.726,233249249.19806832,7.169,257334828.29220337,8.056,242754969.94961023,8.264,239680501.40228742,8.023,243253704.42138794,12:30:00,01-01-2022
26,6.851,263239389.5741353,7.145,257766658.82102916,,,8.616,234733467.1832321,6.442,271467284.42184824,7.191,256940884.27008417,7.645,249194879.39058506,7.314,254771228.2426336,13:00:00,01-01-2022
27,6.243,275759949.79856026,6.335,273750265.5878779,,,7.784,246959902.59036753,5.844,285018306.41947716,6.514,269962835.9173198,7.003,260366913.99324352,6.611,267975000.3878982,13:30:00,01-01-2022
28,5.412,296175387.1619091,5.329,298472964.2021056,,,6.909,262132133.62590247,5.088,305459971.90978056,5.467,294681805.3418566,6.181,277139536.95256984,5.822,285556307.9914546,14:00:00,01-01-2022
29,4.784,315015753.8750025,4.788,314884140.8532249,,,7.159,257514493.7670626,4.558,322731010.9369991,4.881,311869895.6592854,5.568,291996903.1860337,5.323,298641133.7886678,14:30:00,01-01-2022
30,4.347,330470759.6139222,4.397,328586431.56408584,,,6.257,275451271.41787744,4.172,337330576.8091569,4.327,331233620.1849155,5.177,302822943.32196087,4.942,309939186.11673594,15:00:00,01-01-2022
31,3.966,345980405.91545606,4.207,335924440.7307424,,,6.033,280518298.59604055,3.901,348850928.8329604,4.019,343691550.793228,4.733,316708417.7426618,4.69,318156966.7000197,15:30:00,01-01-2022
32,3.768,354954275.5257024,4.1,340279613.1828484,,,6.533,269569982.04377645,3.739,356328144.3903804,3.898,348985145.2901864,4.513,324336026.693003,4.532,323655437.89207375,16:00:00,01-01-2022
33,3.718,357333033.38377005,3.917,348137713.81891996,,,6.181,277139536.95256984,3.648,360745102.65025985,3.874,350064483.3681557,4.349,330394763.1176629,4.342,330660980.523943,16:30:00,01-01-2022
34,3.35,376448399.7092569,3.633,361489061.1691677,,,5.107,304891228.2671695,3.311,378658986.74281335,3.582,364053380.41683733,4.004,344334726.8610054,4.037,342924476.3199573,17:00:00,01-01-2022
35,3.203,384989947.24206364,3.65,360646254.83290887,,,6.146,277927538.3637043,3.097,391522978.6997686,3.393,374055400.19185877,3.897,349029918.5465501,3.997,344636113.98816615,17:30:00,01-01-2022
36,3.207,384749778.8174162,3.758,355426226.6389843,,,6.189,276960361.5422437,3.06,393882917.02269596,3.452,370845031.9070094,3.972,345718992.6511468,4.076,341279947.37378865,18:00:00,01-01-2022
37,3.095,391649460.0400732,3.812,352899800.47873116,,,6.185,277049905.7933846,3.096,391586204.04999095,3.594,363445103.6671074,4.029,343264763.6538156,4.138,338713585.09435076,18:30:00,01-01-2022
38,3.034,395567015.4516632,3.83,352069555.3854542,,,9.46,224017677.61581436,3.112,390578258.481135,3.591,363596886.97030675,4.084,340945523.0432247,4.142,338549994.8481051,19:00:00,01-01-2022
39,3.24,382785390.2267806,3.85,351153898.2943816,,,8.397,237774776.54668742,3.144,388585499.2628532,3.645,360893526.8913271,4.184,336846485.8013464,4.26,333828229.60229766,19:30:00,01-01-2022
40,3.306,378945220.8049605,3.887,349478600.9770047,,,4.482,325455737.894546,3.272,380908979.95514816,3.739,356328144.3903804,4.172,337330576.8091569,4.304,332117475.0265301,20:00:00,01-01-2022
41,3.106,390955325.27062136,3.731,356709958.7451797,,,3.547,365845118.48688513,2.918,403352929.0445722,3.362,375775969.7594041,3.783,354249860.7105514,3.999,344549922.6365649,20:30:00,01-01-2022
42,3.423,372412636.87249684,4.163,337695017.84831387,,,3.847,351290791.5092345,3.218,384091626.1596618,3.557,365330495.75571316,4.094,340528871.8756666,4.362,329902060.58709437,21:00:00,01-01-2022
43,3.641,361091711.16046053,4.381,329185905.5978107,,,3.92,348004472.359494,3.443,371329409.9216293,3.714,357525406.49777716,4.288,332736520.25154936,4.593,321499007.1617317,21:30:00,01-01-2022
44,3.628,361738072.05574006,4.399,328511727.36133254,,,3.839,351656624.2472754,3.355,376167782.1527722,3.564,364971549.2910107,4.076,341279947.37378865,4.503,324695960.2480991,22:00:00,01-01-2022
45,3.649,360695668.5832035,4.538,323441403.63221097,,,3.951,346636542.3021507,3.355,376167782.1527722,3.548,365793558.32617706,4.03,343222172.331156,4.471,325855851.27467734,22:30:00,01-01-2022
46,3.743,356137696.41077346,4.597,321359103.3225736,,,4.024,343477958.360198,3.259,381667937.9824656,3.568,364766911.4564248,4.0,344506851.2041025,4.306,332040337.0682195,23:00:00,01-01-2022
47,3.592,363546271.40843135,4.37,329599952.4096376,,,3.895,349119516.78151244,2.77,413988211.21806306,3.401,373615205.39365304,3.486,369032119.3834237,3.899,348940389.2598273,23:30:00,01-01-2022
0,2.652,423098123.2649885,2.846,408423206.79535705,,,1.123,650186549.0959846,,,3.437,371653385.0391711,3.541,366154937.9793784,3.295,379577227.52546924,00:00:00,01-03-2022
1,2.71,418546016.9502201,2.991,398400295.87843215,,,2.264,457920037.39478636,,,3.387,374386569.2697333,3.551,365639008.54461765,3.129,389515798.6533169,00:30:00,01-03-2022
2,2.549,421561745.58634794,2.885,405653240.90482765,,,2.602,427143903.9970644,,,3.084,392347305.2618801,3.246,382431450.81662667,2.908,404045856.76556104,01:00:00,01-03-2022
3,2.231,431294284.4877432,2.626,425187509.4201305,,,2.989,398533562.41364574,,,2.736,416552564.24793345,2.959,400548745.81208354,2.615,426080846.7823292,01:30:00,01-03-2022
4,2.055,420642251.8474162,2.454,439835804.22770107,,,2.879,406075723.1310209,,,2.541,432240569.04260397,2.655,422859017.21409494,2.387,445965896.79998446,02:00:00,01-03-2022
5,1.872,403587494.2579527,2.302,454124778.61847997,,,1.469,568482317.8865532,,,2.405,444293867.1384339,2.359,448604771.29098517,2.257,458629598.4759984,02:30:00,01-03-2022
6,1.739,422490102.20684445,2.217,462748492.0992476,,,,,,,2.318,452554766.04132944,2.096,475918097.31931955,2.189,465698648.97930765,03:00:00,01-03-2022
7,1.938,434938197.6128695,2.393,445406457.8633051,,,,,,,2.485,437083751.7901791,2.145,470450799.0873158,2.453,439925447.7228188,03:30:00,01-03-2022
8,2.24,440366644.5007361,2.749,415566460.0995182,,,,,,,2.795,412132584.6144519,2.455,439746215.51015544,2.903,404393662.50850827,04:00:00,01-03-2022
9,2.873,406499528.14091873,3.566,364869187.3343512,,,0.213,1492925228.3982902,,,3.606,362839865.77227026,3.163,387416633.4017094,3.736,356471181.05007476,04:30:00,01-03-2022
10,4.162,337735584.2509887,4.912,310884220.8928187,,,3.265,381317086.42556316,,,4.913,310852580.3430555,4.323,331386827.2329713,5.052,306546377.1362577,05:00:00,01-03-2022
11,5.641,290101389.49371433,6.504,270170292.2116083,,,4.815,314000046.99560547,,,6.329,273879994.8103503,5.639,290152830.4710659,6.49,270461536.1624234,05:30:00,01-03-2022
